icao24;callsign;estDepartureAirport;estArrivalAirport;firstSeen_dt;lastSeen_dt;fecha_salida;hora_salida;dia_semana;mes;anio;duracion_minutos
7800ac;CXA841  ;;;2024-01-29 12:42:45;2024-01-29 12:55:43;2024-01-29;12;Monday;1;2024;12,966666666666669
8880b0;VJC778  ;;VVGL;2024-01-29 12:16:09;2024-01-29 12:41:59;2024-01-29;12;Monday;1;2024;25,83333333333333
4bcdd2;SXS8SU  ;;;2024-01-29 12:04:59;2024-01-29 12:32:00;2024-01-29;12;Monday;1;2024;27,016666666666666
8a0244;GIA325  ;;;2024-01-29 12:05:48;2024-01-29 12:25:25;2024-01-29;12;Monday;1;2024;19,616666666666667
7c6bc1;JST16   ;RJBB;;2024-01-29 12:14:44;2024-01-29 12:33:41;2024-01-29;12;Monday;1;2024;18,95
05a054;DQA706  ;;;2024-01-29 12:43:21;2024-01-29 12:54:05;2024-01-29;12;Monday;1;2024;10,733333333333333
aa7427;UAL172  ;RJGG;;2024-01-29 12:00:15;2024-01-29 12:24:14;2024-01-29;12;Monday;1;2024;23,98333333333333
781085;CQH6512 ;;;2024-01-29 12:16:39;2024-01-29 12:30:29;2024-01-29;12;Monday;1;2024;13,833333333333334
78007c;CSN3923 ;;;2024-01-29 12:03:57;2024-01-29 12:57:44;2024-01-29;12;Monday;1;2024;53,78333333333333
e49d4b;PSAJG   ;;;2024-01-29 12:13:14;2024-01-29 12:48:51;2024-01-29;12;Monday;1;2024;35,61666666666667
7c6bbb;JST26   ;RJAA;;2024-01-29 12:08:53;2024-01-29 12:33:26;2024-01-29;12;Monday;1;2024;24,55
780b1f;CSZ9113 ;ZGSZ;;2024-01-29 12:44:05;2024-01-29 12:57:13;2024-01-29;12;Monday;1;2024;13,133333333333333
8990b2;EVA834  ;;;2024-01-29 12:17:49;2024-01-29 12:34:51;2024-01-29;12;Monday;1;2024;17,033333333333335
151dbc;AFL635  ;;;2024-01-29 12:04:49;2024-01-29 12:39:42;2024-01-29;12;Monday;1;2024;34,88333333333333
78189b;CES6332 ;;;2024-01-29 12:06:11;2024-01-29 12:55:19;2024-01-29;12;Monday;1;2024;49,13333333333333
8a03af;CTV726  ;;;2024-01-29 12:32:03;2024-01-29 12:48:41;2024-01-29;12;Monday;1;2024;16,633333333333333
151df5;SDM6564 ;;;2024-01-29 12:09:44;2024-01-29 12:21:28;2024-01-29;12;Monday;1;2024;11,733333333333333
780478;CXA8380 ;ZGSZ;;2024-01-29 12:19:41;2024-01-29 12:32:22;2024-01-29;12;Monday;1;2024;12,683333333333334
780673;CSN6373 ;;;2024-01-29 12:33:09;2024-01-29 12:47:45;2024-01-29;12;Monday;1;2024;14,6
a67231;VOI5218 ;MMMX;;2024-01-29 12:10:03;2024-01-29 12:37:54;2024-01-29;12;Monday;1;2024;27,85
8a0940;LNI309  ;;;2024-01-29 12:04:57;2024-01-29 12:53:20;2024-01-29;12;Monday;1;2024;48,38333333333333
8a0507;CTV173  ;;;2024-01-29 12:23:24;2024-01-29 12:41:26;2024-01-29;12;Monday;1;2024;18,03333333333333
7802dd;HBH3668 ;ZGSZ;;2024-01-29 12:39:28;2024-01-29 12:52:47;2024-01-29;12;Monday;1;2024;13,316666666666666
780486;CSN3589 ;ZGSZ;;2024-01-29 12:37:26;2024-01-29 12:49:49;2024-01-29;12;Monday;1;2024;12,383333333333333
7810ad;EPA6335 ;ZGSZ;;2024-01-29 12:32:27;2024-01-29 12:46:29;2024-01-29;12;Monday;1;2024;14,033333333333331
0c205c;CMP435  ;KMCO;;2024-01-29 12:21:53;2024-01-29 12:55:29;2024-01-29;12;Monday;1;2024;33,6
8a08ea;SJV816  ;;;2024-01-29 12:12:14;2024-01-29 12:26:12;2024-01-29;12;Monday;1;2024;13,966666666666669
780086;CSN367  ;;;2024-01-29 12:32:06;2024-01-29 12:45:59;2024-01-29;12;Monday;1;2024;13,883333333333333
750288;AXM5228 ;;;2024-01-29 12:18:05;2024-01-29 12:30:29;2024-01-29;12;Monday;1;2024;12,4
780bd1;CSN3866 ;;;2024-01-29 12:08:12;2024-01-29 12:33:23;2024-01-29;12;Monday;1;2024;25,183333333333334
e49312;AZU4578 ;;;2024-01-29 12:19:29;2024-01-29 12:45:23;2024-01-29;12;Monday;1;2024;25,9
800cba;VTI622  ;;;2024-01-29 12:19:25;2024-01-29 12:56:20;2024-01-29;12;Monday;1;2024;36,91666666666666
7811a9;CSZ9319 ;ZGSZ;;2024-01-29 12:41:03;2024-01-29 12:54:15;2024-01-29;12;Monday;1;2024;13,2
0d08a7;FAM5209 ;MMSM;;2024-01-29 12:09:46;2024-01-29 12:21:23;2024-01-29;12;Monday;1;2024;11,616666666666667
781002;CHH7357 ;ZGSZ;;2024-01-29 12:35:15;2024-01-29 12:49:28;2024-01-29;12;Monday;1;2024;14,216666666666669
7609b6;PIA305  ;OPLA;;2024-01-29 12:14:10;2024-01-29 12:51:37;2024-01-29;12;Monday;1;2024;37,45
345543;ANE060  ;;;2024-01-29 12:04:18;2024-01-29 12:29:09;2024-01-29;12;Monday;1;2024;24,85
781408;CSC3940 ;;;2024-01-29 12:18:15;2024-01-29 12:49:24;2024-01-29;12;Monday;1;2024;31,15
8a0377;CTV331  ;;;2024-01-29 12:33:29;2024-01-29 12:51:29;2024-01-29;12;Monday;1;2024;18,0
7808c0;CSN6551 ;ZGSZ;;2024-01-29 12:12:57;2024-01-29 12:24:35;2024-01-29;12;Monday;1;2024;11,633333333333333
781ff7;CES5550 ;;;2024-01-29 12:36:09;2024-01-29 12:56:52;2024-01-29;12;Monday;1;2024;20,716666666666665
8a09a1;BTK6211 ;;;2024-01-29 12:18:27;2024-01-29 12:29:14;2024-01-29;12;Monday;1;2024;10,783333333333331
78067b;CDG1160 ;VMMC;;2024-01-29 12:23:10;2024-01-29 12:36:55;2024-01-29;12;Monday;1;2024;13,75
7807cd;CCA8324 ;;;2024-01-29 12:27:08;2024-01-29 12:42:11;2024-01-29;12;Monday;1;2024;15,05
06a256;LHOB271 ;HEAR;;2024-01-29 12:26:43;2024-01-29 12:49:26;2024-01-29;12;Monday;1;2024;22,716666666666665
8a024c;LNI673  ;;;2024-01-29 12:21:03;2024-01-29 12:31:34;2024-01-29;12;Monday;1;2024;10,516666666666667
8a01dd;GIA328  ;;;2024-01-29 12:24:25;2024-01-29 12:42:56;2024-01-29;12;Monday;1;2024;18,516666666666666
7805fd;CSN5903 ;ZGSZ;;2024-01-29 12:42:23;2024-01-29 12:56:16;2024-01-29;12;Monday;1;2024;13,883333333333333
888054;HVN219  ;VVGL;;2024-01-29 12:13:21;2024-01-29 12:34:54;2024-01-29;12;Monday;1;2024;21,55
781711;CSZ9215 ;ZGSZ;;2024-01-29 12:02:50;2024-01-29 12:17:54;2024-01-29;12;Monday;1;2024;15,066666666666666
780fbd;CSH9250 ;;;2024-01-29 12:26:39;2024-01-29 12:45:36;2024-01-29;12;Monday;1;2024;18,95
7808ca;CCA2692 ;VMMC;;2024-01-29 12:19:20;2024-01-29 12:34:58;2024-01-29;12;Monday;1;2024;15,633333333333333
781601;AMU008  ;;;2024-01-29 12:01:35;2024-01-29 12:13:47;2024-01-29;12;Monday;1;2024;12,2
780a49;CPA362  ;VHHH;;2024-01-29 12:00:56;2024-01-29 12:59:25;2024-01-29;12;Monday;1;2024;58,48333333333333
70e083;MMA332  ;VTBS;;2024-01-29 12:39:22;2024-01-29 12:56:55;2024-01-29;12;Monday;1;2024;17,55
a006b6;N100WP  ;;KLZU;2024-01-29 12:08:38;2024-01-29 12:38:55;2024-01-29;12;Monday;1;2024;30,28333333333333
a25184;AER43   ;PANC;;2024-01-29 12:19:15;2024-01-29 12:56:17;2024-01-29;12;Monday;1;2024;37,03333333333333
e495db;TAM3210 ;;;2024-01-29 12:04:44;2024-01-29 12:28:50;2024-01-29;12;Monday;1;2024;24,1
e8c08a;OB2174  ;;SPJC;2024-01-29 12:19:46;2024-01-29 12:37:24;2024-01-29;12;Monday;1;2024;17,633333333333333
47807e;NOR72T  ;ENBR;ENBR;2024-01-29 12:00:54;2024-01-29 12:17:27;2024-01-29;12;Monday;1;2024;16,55
484966;KLM1010 ;EGLL;EHAM;2024-01-29 12:07:15;2024-01-29 12:48:57;2024-01-29;12;Monday;1;2024;41,7
a6d2d9;N539LC  ;KEKM;OI38;2024-01-29 12:33:53;2024-01-29 12:55:56;2024-01-29;12;Monday;1;2024;22,05
e0658f;ARG1603 ;;SABE;2024-01-29 12:17:05;2024-01-29 12:46:07;2024-01-29;12;Monday;1;2024;29,03333333333333
e80412;LPE2181 ;;SPJC;2024-01-29 12:31:16;2024-01-29 12:56:24;2024-01-29;12;Monday;1;2024;25,133333333333333
a37aee;N323RB  ;53GA;2AL8;2024-01-29 12:07:12;2024-01-29 12:41:57;2024-01-29;12;Monday;1;2024;34,75
a88c60;N65WL   ;EGNV;EIDW;2024-01-29 12:11:30;2024-01-29 12:51:23;2024-01-29;12;Monday;1;2024;39,88333333333333
abd1e3;SWA3286 ;KMSY;;2024-01-29 12:38:21;2024-01-29 12:50:56;2024-01-29;12;Monday;1;2024;12,583333333333334
e482c6;TAM3804 ;SBBR;;2024-01-29 12:09:53;2024-01-29 12:39:58;2024-01-29;12;Monday;1;2024;30,08333333333333
e48eff;GLO1232 ;SBSP;;2024-01-29 12:02:00;2024-01-29 12:18:59;2024-01-29;12;Monday;1;2024;16,983333333333334
3d0924;DEBSE   ;EDMS;LOWS;2024-01-29 12:23:30;2024-01-29 12:53:13;2024-01-29;12;Monday;1;2024;29,716666666666665
3d7b22;DFSWO   ;EDLP;EDDW;2024-01-29 12:00:32;2024-01-29 12:23:44;2024-01-29;12;Monday;1;2024;23,2
a9cbb8;N730GY  ;;KDAL;2024-01-29 12:18:34;2024-01-29 12:47:36;2024-01-29;12;Monday;1;2024;29,03333333333333
e0b2c5;ARG1354 ;SABE;;2024-01-29 12:05:27;2024-01-29 12:27:59;2024-01-29;12;Monday;1;2024;22,53333333333333
405f11;EZY20HX ;EGGW;EHAM;2024-01-29 12:16:38;2024-01-29 12:57:09;2024-01-29;12;Monday;1;2024;40,516666666666666
3ddc74;CHX88   ;EDDN;EDDN;2024-01-29 12:30:14;2024-01-29 12:44:18;2024-01-29;12;Monday;1;2024;14,066666666666666
3df79d;NHC47   ;;EDWI;2024-01-29 12:19:00;2024-01-29 12:30:26;2024-01-29;12;Monday;1;2024;11,433333333333334
80161a;IGO2095 ;VIDP;;2024-01-29 12:17:45;2024-01-29 12:55:42;2024-01-29;12;Monday;1;2024;37,95
861bec;ANA416  ;RJBE;RJTT;2024-01-29 12:08:03;2024-01-29 12:52:45;2024-01-29;12;Monday;1;2024;44,7
8940c3;GFA070  ;;;2024-01-29 12:21:07;2024-01-29 12:40:16;2024-01-29;12;Monday;1;2024;19,15
ada70c;JED173  ;KDAB;KOMN;2024-01-29 12:26:45;2024-01-29 12:50:29;2024-01-29;12;Monday;1;2024;23,73333333333333
0d071b;AMX113  ;MMMX;;2024-01-29 12:39:18;2024-01-29 12:51:32;2024-01-29;12;Monday;1;2024;12,233333333333333
406dce;LOG904  ;;EGPD;2024-01-29 12:22:17;2024-01-29 12:53:08;2024-01-29;12;Monday;1;2024;30,85
80162a;IGO7423 ;;VOBL;2024-01-29 12:21:00;2024-01-29 12:50:10;2024-01-29;12;Monday;1;2024;29,166666666666668
89611a;UAE508  ;OMDB;;2024-01-29 12:10:12;2024-01-29 12:21:46;2024-01-29;12;Monday;1;2024;11,566666666666666
a03ee0;N115BA  ;KSGR;KAUS;2024-01-29 12:19:34;2024-01-29 12:46:49;2024-01-29;12;Monday;1;2024;27,25
ac0fb6;SWA3952 ;KTPA;;2024-01-29 12:30:10;2024-01-29 12:58:42;2024-01-29;12;Monday;1;2024;28,53333333333333
e49699;AZU4452 ;;;2024-01-29 12:02:08;2024-01-29 12:18:47;2024-01-29;12;Monday;1;2024;16,65
780726;CHB6386 ;;;2024-01-29 12:31:00;2024-01-29 12:56:43;2024-01-29;12;Monday;1;2024;25,716666666666665
846f00;JAL920  ;;RJTT;2024-01-29 12:13:31;2024-01-29 12:56:58;2024-01-29;12;Monday;1;2024;43,45
e4948b;AZU4854 ;SBKP;;2024-01-29 12:23:30;2024-01-29 12:42:23;2024-01-29;12;Monday;1;2024;18,883333333333333
780e97;LKE801  ;;VTBS;2024-01-29 12:13:00;2024-01-29 12:42:42;2024-01-29;12;Monday;1;2024;29,7
800af1;IGO517  ;;VOBL;2024-01-29 12:08:31;2024-01-29 12:32:22;2024-01-29;12;Monday;1;2024;23,85
ac71dd;AAL1885 ;KCLT;;2024-01-29 12:32:21;2024-01-29 12:55:15;2024-01-29;12;Monday;1;2024;22,9
00a706;ZSOTP   ;;FAGC;2024-01-29 12:28:50;2024-01-29 12:57:12;2024-01-29;12;Monday;1;2024;28,366666666666667
398570;AFR74YR ;LFPG;LFRN;2024-01-29 12:03:39;2024-01-29 12:41:15;2024-01-29;12;Monday;1;2024;37,6
3cdde1;SFG55A  ;ELLX;LSZS;2024-01-29 12:01:09;2024-01-29 12:46:28;2024-01-29;12;Monday;1;2024;45,31666666666667
4b43b1;RGA02   ;LSZB;LSZM;2024-01-29 12:33:00;2024-01-29 12:51:28;2024-01-29;12;Monday;1;2024;18,466666666666665
4c01f2;ASL51U  ;LYBE;;2024-01-29 12:42:25;2024-01-29 12:54:56;2024-01-29;12;Monday;1;2024;12,516666666666667
750493;AXM861  ;;WMKK;2024-01-29 12:15:09;2024-01-29 12:33:29;2024-01-29;12;Monday;1;2024;18,33333333333333
